,Transaction date,Transaction type,Num,Customer full name,Vendor,Memo/Description,Cleared,Amount
816,,,,,,,,
,04/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P7D2H9F9O3L7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2853.89
,04/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-P7D2H9F9O3L7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2853.89
817,,,,,,,,
,04/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L1B3Z1X9X2C5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,69.97
,04/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L1B3Z1X9X2C5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,69.97
823,,,,,,,,
,04/12/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:8M5HI1807BJDL56           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,122.72
,04/12/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:8M5HI1807BJDL56           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,122.72
831,,,,,,,,
,04/15/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-S8W8W0B8Q5C2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,5698.45
,04/15/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-S8W8W0B8Q5C2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,5698.45
832,,,,,,,,
,04/15/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:CLVBYNBZUJNWH2J           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,418.38
,04/15/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:CLVBYNBZUJNWH2J           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,418.38
833,,,,,,,,
,04/15/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-N3H5F5O5Q9C5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,486.45
,04/15/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-N3H5F5O5Q9C5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,486.45
846,,,,,,,,
,04/16/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-N0Y5C0L7H0Z8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,712.11
,04/16/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-N0Y5C0L7H0Z8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,712.11
847,,,,,,,,
,04/16/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:X4BXCG7EU5OWYC5           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,327.17
,04/16/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:X4BXCG7EU5OWYC5           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,327.17
848,,,,,,,,
,04/16/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-A2M5S6P7B2Q3           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,12078.53
,04/16/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-A2M5S6P7B2Q3           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,12078.53
849,,,,,,,,
,04/16/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X9H6M7H0L8P1           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,20
,04/16/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X9H6M7H0L8P1           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,20
850,,,,,,,,
,04/16/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX81088305             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,6887.73
,04/16/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX81088305             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,6887.73
841,,,,,,,,
,04/17/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-E7Q2V8Q2E9R0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1987.26
,04/17/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-E7Q2V8Q2E9R0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1987.26
843,,,,,,,,
,04/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:DA1XKBRSTXH3IRK           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,58.54
,04/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:DA1XKBRSTXH3IRK           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,58.54
844,,,,,,,,
,04/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-F9I2M4E1D8L9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,4444.33
,04/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-F9I2M4E1D8L9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,4444.33
845,,,,,,,,
,04/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Q9B3I1R4J2D3           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,32.97
,04/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Q9B3I1R4J2D3           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,32.97
851,,,,,,,,
,04/18/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-Z7Z4C0L7C0Q7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,618.43
,04/18/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-Z7Z4C0L7C0Q7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,618.43
852,,,,,,,,
,04/18/2024,Deposit,,,,AMAZON.CT1586QKY DES:PAYMENTS   ID:XUEURAP3NAGZDBF           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,1247.96
,04/18/2024,Deposit,,,,AMAZON.CT1586QKY DES:PAYMENTS   ID:XUEURAP3NAGZDBF           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,1247.96
853,,,,,,,,
,04/18/2024,Deposit,,,,Amazon.com.ca In DES:INTL PYMNT ID:12803DM0000YGD            INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX00247 IAT           PMT INFO: BUS XXXXXXXXXX00015800 12803DM0000YGD             FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,Reconciled,158
,04/18/2024,Deposit,,,,Amazon.com.ca In DES:INTL PYMNT ID:12803DM0000YGD            INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX00247 IAT           PMT INFO: BUS XXXXXXXXXX00015800 12803DM0000YGD             FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,,158
854,,,,,,,,
,04/18/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-A6F6C4H6H1B7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3023.62
,04/18/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-A6F6C4H6H1B7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3023.62
855,,,,,,,,
,04/18/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:YDF1BN25DY1QNOQ           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,56.58
,04/18/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:YDF1BN25DY1QNOQ           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,56.58
856,,,,,,,,
,04/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-B7G3A4V7J1L8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,73.7
,04/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-B7G3A4V7J1L8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,73.7
857,,,,,,,,
,04/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-U7K3G6H5Q7W4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3865.47
,04/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-U7K3G6H5Q7W4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3865.47
858,,,,,,,,
,04/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M0M0E1Z5X7Z5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,811.76
,04/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M0M0E1Z5X7Z5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,811.76
867,,,,,,,,
,04/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-U5E6E8R9Y9P0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3964.36
,04/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-U5E6E8R9Y9P0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3964.36
870,,,,,,,,
,04/22/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-A0H5Z0N4C2D4           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,570.7
,04/22/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-A0H5Z0N4C2D4           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,570.7
871,,,,,,,,
,04/22/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:6G8AJAH8F0QVYZF           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,54.74
,04/22/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:6G8AJAH8F0QVYZF           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,54.74
873,,,,,,,,
,04/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-S4T8V4T6W3V4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,10.83
,04/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-S4T8V4T6W3V4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,10.83
877,,,,,,,,
,04/23/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX22904622             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,4603.82
,04/23/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX22904622             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,4603.82
878,,,,,,,,
,04/23/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-Z4T6E1G3O5Z4           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1165.66
,04/23/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-Z4T6E1G3O5Z4           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1165.66
879,,,,,,,,
,04/23/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-G2A0Q0C6Q1I7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,8925.76
,04/23/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-G2A0Q0C6Q1I7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,8925.76
880,,,,,,,,
,04/23/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X5N9S5U4H1G0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,83.59
,04/23/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X5N9S5U4H1G0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,83.59
886,,,,,,,,
,04/24/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:L794IJWOW0Z3NUS           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,111.68
,04/24/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:L794IJWOW0Z3NUS           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,111.68
888,,,,,,,,
,04/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Z9T1S8H1O7U7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,23.35
,04/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Z9T1S8H1O7U7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,23.35
889,,,,,,,,
,04/24/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-M1J5B1G1L8Q6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,2464.84
,04/24/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-M1J5B1G1L8Q6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,2464.84
890,,,,,,,,
,04/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-L7P3J4W4K3M2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2699.7
,04/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-L7P3J4W4K3M2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2699.7
892,,,,,,,,
,04/25/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-N9F5O0M0J1K2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,950.33
,04/25/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-N9F5O0M0J1K2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,950.33
893,,,,,,,,
,04/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E8X1C2V8C2C0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,10.88
,04/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E8X1C2V8C2C0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,10.88
894,,,,,,,,
,04/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L8Q4A8Q9E6U1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2872.35
,04/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-L8Q4A8Q9E6U1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2872.35
905,,,,,,,,
,04/25/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:SCY0FIZGWFGBDVF           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,124.36
,04/25/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:SCY0FIZGWFGBDVF           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,124.36
896,,,,,,,,
,04/26/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-L3F2M0P5V4K6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,238.99
,04/26/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-L3F2M0P5V4K6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,238.99
897,,,,,,,,
,04/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Z0M5P0W6O1J6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,4.84
,04/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Z0M5P0W6O1J6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,4.84
898,,,,,,,,
,04/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G3C0W3V7O7E0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,4562.22
,04/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G3C0W3V7O7E0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,4562.22
903,,,,,,,,
,04/26/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:C20TGKOK56U2HQK           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,50.52
,04/26/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:C20TGKOK56U2HQK           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,50.52
921,,,,,,,,
,04/29/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-G9N2I4L8B1K6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,397.36
,04/29/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-G9N2I4L8B1K6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,397.36
922,,,,,,,,
,04/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-V2W7W0A6D6G7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,2.59
,04/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-V2W7W0A6D6G7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,2.59
923,,,,,,,,
,04/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-J1P1Z1V2R2O9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3150.39
,04/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-J1P1Z1V2R2O9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3150.39
926,,,,,,,,
,04/30/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-G3X7Y0L4N3W5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,940.04
,04/30/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-G3X7Y0L4N3W5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,940.04
927,,,,,,,,
,04/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q5L3X3J7W0Z6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,10879.51
,04/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Q5L3X3J7W0Z6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,10879.51
928,,,,,,,,
,04/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-O0D2P4S0U1M5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,155.6
,04/30/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-O0D2P4S0U1M5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,155.6
931,,,,,,,,
,04/30/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:FKV8HB0NKJJ24WZ           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,101.7
,04/30/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:FKV8HB0NKJJ24WZ           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,101.7
932,,,,,,,,
,04/30/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:DYBA5IGQKOQMCMO           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,60.59
,04/30/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:DYBA5IGQKOQMCMO           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,60.59
933,,,,,,,,
,04/30/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX65876817             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,5284.36
,04/30/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX65876817             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,5284.36
945,,,,,,,,
,05/01/2024,Deposit,,,,"WIRE TYPE:WIRE IN DATE: 240501 TIME:1027 ET                 TRN:XXXXXXXXXX272637 SEQ:XXXXXXXXXX077564/010734            ORIG:PLASTIQ C ID:O FINXERA SND BK:WELLS FARGO BAN          K, NA ID:XXXXX0248 PMT DET:FXXXXX6181 INVOICE 5397          25 SGES LLC DBA WARRIORS TACKLE SUPPLY INVOICE 539",Reconciled,1933.5
,05/01/2024,Deposit,,,,"WIRE TYPE:WIRE IN DATE: 240501 TIME:1027 ET                 TRN:XXXXXXXXXX272637 SEQ:XXXXXXXXXX077564/010734            ORIG:PLASTIQ C ID:O FINXERA SND BK:WELLS FARGO BAN          K, NA ID:XXXXX0248 PMT DET:FXXXXX6181 INVOICE 5397          25 SGES LLC DBA WARRIORS TACKLE SUPPLY INVOICE 539",,1933.5
950,,,,,,,,
,05/01/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-T3W2C9L6M1X6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,2411.42
,05/01/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-T3W2C9L6M1X6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,2411.42
952,,,,,,,,
,05/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7O3Y2X9F9N0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,32.04
,05/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7O3Y2X9F9N0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,32.04
954,,,,,,,,
,05/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-V9J7O9L3T3Q8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3360.06
,05/01/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-V9J7O9L3T3Q8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3360.06
987,,,,,,,,
,05/02/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E3C4O6L7J2E8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,311.4
,05/02/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E3C4O6L7J2E8           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,311.4
988,,,,,,,,
,05/02/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KO40USBWXKVW              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXXXXXX4363                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,Reconciled,43.63
,05/02/2024,Deposit,,,,AMAZONCOMCA INC  DES:PAYMENT    ID:KO40USBWXKVW              INDN:Outdoor Playground Inc  CO ID:XXXXX70001 IAT           PMT INFO: BUS XXXXXXXXXXXXXX4363                            FOR MORE INFORMATION CONTACT CUSTOMER SERVICE,,43.63
989,,,,,,,,
,05/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-A2O3Z1X8F2F1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1906.83
,05/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-A2O3Z1X8F2F1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1906.83
990,,,,,,,,
,05/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N4X5Q6Z7B3K7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,30.43
,05/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N4X5Q6Z7B3K7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,30.43
991,,,,,,,,
,05/02/2024,Deposit,,,,AMAZON.CMINXE54A DES:PAYMENTS   ID:QU5H4EH2R99T4Y1           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,1496.5
,05/02/2024,Deposit,,,,AMAZON.CMINXE54A DES:PAYMENTS   ID:QU5H4EH2R99T4Y1           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,1496.5
961,,,,,,,,
,05/03/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-U3C4Y8T3T5Q9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,2500.98
,05/03/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-U3C4Y8T3T5Q9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,2500.98
962,,,,,,,,
,05/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-W8G4L0B0E8D0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,5080.28
,05/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-W8G4L0B0E8D0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,5080.28
963,,,,,,,,
,05/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7J9C2I9Y1R4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,80.93
,05/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7J9C2I9Y1R4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,80.93
981,,,,,,,,
,05/06/2024,Deposit,,,,AMAZON.CX02F0802 DES:PAYMENTS   ID:4HDZCY5V10NP8GD           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,65.11
,05/06/2024,Deposit,,,,AMAZON.CX02F0802 DES:PAYMENTS   ID:4HDZCY5V10NP8GD           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,65.11
982,,,,,,,,
,05/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-C4A8R0L8R6W4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3003.63
,05/06/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-C4A8R0L8R6W4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3003.63
984,,,,,,,,
