Transaction date,Num,Name,Memo/Description,Amount,Expense_Category
11/12/2024,0918,"Z-Man Fishing Products, Inc.",,-2968.75,Accounts Payable (A/P)
11/12/2024,0917,"Z-Man Fishing Products, Inc.",,-4029.15,Accounts Payable (A/P)
11/14/2024,ACH,GrandeBass Maximus Outdoors,,-6354.4,Accounts Payable (A/P)
11/15/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-3914.4,Accounts Payable (A/P)
11/18/2024,0919,Fedex,Invoice 8-675-76725,-11.56,Fedex
11/18/2024,0920,California Department of Tax and Fee,,-18.65,Taxes paid
11/18/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-3733.66,Accounts Payable (A/P)
11/21/2024,0921,Edward Lee Arthur Jr,,-100.0,Accounts Payable (A/P)
11/21/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2552.0,Accounts Payable (A/P)
12/01/2024,0923,Brothers Printing,,-3090.38,Accounts Payable (A/P)
12/01/2024,0925,Adaptive Marketing LLC,,-2000.0,Accounts Payable (A/P)
12/01/2024,0924,Yotpo,,-1277.92,Accounts Payable (A/P)
12/01/2024,0922,O Mustad & Sons,,-13516.17,Accounts Payable (A/P)
12/01/2025,,Army Bass Anglers Enterprise LLC,,-5000.0,Accounts Payable (A/P)
12/02/2025,,Jeremy Francis,,-1200.0,Accounts Payable (A/P)
12/03/2024,0926,Brothers Printing,,-1732.23,Accounts Payable (A/P)
12/09/2024,0930,Coastal Sports Distributors LLC,,-362.5,Accounts Payable (A/P)
12/09/2024,ACH,Jeremy Francis,,-1200.0,Accounts Payable (A/P)
12/09/2024,0928,Shane Park Media Group LLC,,-1500.0,Accounts Payable (A/P)
12/09/2024,0927,Edward Lee Arthur Jr,,-100.0,Accounts Payable (A/P)
12/09/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-3280.07,Accounts Payable (A/P)
12/09/2024,ACH,Jeremy Francis,,-400.0,Accounts Payable (A/P)
12/09/2024,0929,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
12/09/2025,1017,Brothers Printing,,-2007.46,Accounts Payable (A/P)
12/10/2025,1021,Brothers Printing,,-1960.7,Accounts Payable (A/P)
12/10/2025,1022,Rochelle Johansen Mitchell,,-4500.0,Visa 0270
12/10/2025,1019,Dove Fishing LLC,,-1250.0,Accounts Payable (A/P)
12/10/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-2264.0,Accounts Payable (A/P)
12/10/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-3202.97,Accounts Payable (A/P)
12/10/2025,1018,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
12/10/2025,1020,Shane Park Media Group LLC,,-1500.0,Accounts Payable (A/P)
12/12/2024,0931,Brothers Printing,,-1977.09,Accounts Payable (A/P)
12/16/2025,WIRE,Weihai Runten Industrial Limited,,-5452.5,Accounts Payable (A/P)
12/16/2025,ACH,GrandeBass Maximus Outdoors,,-4125.0,Accounts Payable (A/P)
12/17/2025,1023,"Z-Man Fishing Products, Inc.",,-8183.51,Accounts Payable (A/P)
12/19/2025,1024,Rochelle Johansen Mitchell,,-2000.0,Visa 0270
12/26/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-3098.18,Accounts Payable (A/P)
12/29/2025,ACH,Weihai Runten Industrial Limited,,-8065.0,Accounts Payable (A/P)
